period,oversold,overbought,aggression_factor,low_buy,high_sell,buy_amount,pnl,runtime
30,38,66,0.5000000000000001,10,85,15,0.0,8.077533960342407
10,30,76,0.5000000000000001,15,80,5,-6200.0,8.20813798904419
35,38,60,0.2,10,90,5,0.0,8.172591209411621
35,34,78,0.5000000000000001,10,80,15,0.0,8.015002965927124
10,34,62,0.7000000000000002,10,75,10,-66798.0,8.35338020324707
45,28,76,0.8000000000000003,5,85,10,0.0,7.923114776611328
25,24,78,0.5000000000000001,5,75,10,0.0,8.126152038574219
15,24,62,0.6000000000000001,15,90,10,5888.0,8.324193239212036
30,24,66,0.7000000000000002,5,90,10,0.0,8.12919306755066
40,36,66,0.2,5,80,10,0.0,8.285806894302368
40,34,74,0.7000000000000002,10,85,15,0.0,8.153991937637329
45,36,66,0.7000000000000002,5,90,5,0.0,8.273981094360352
30,22,64,0.4000000000000001,10,80,15,0.0,8.350353240966797
35,32,68,0.4000000000000001,15,80,15,0.0,8.348282098770142
30,30,66,0.4000000000000001,5,90,5,0.0,8.34524917602539
10,38,66,0.4000000000000001,5,90,15,-69194.0,8.604232788085938
15,36,78,0.5000000000000001,15,80,15,-5869.0,8.494351148605347
50,22,64,0.6000000000000001,15,75,10,0.0,8.691189050674438
45,30,64,0.6000000000000001,10,90,15,0.0,8.708550691604614
50,38,60,0.4000000000000001,20,75,10,0.0,8.668773174285889
10,32,66,0.30000000000000004,10,90,5,-1677.0,8.925374269485474
15,38,66,0.4000000000000001,5,90,5,-6760.0,8.903007984161377
50,38,72,0.6000000000000001,5,90,15,0.0,8.799598932266235
30,28,72,0.7000000000000002,5,80,10,0.0,8.771598100662231
35,38,60,0.2,20,75,10,0.0,8.638003826141357
40,38,66,0.4000000000000001,10,75,15,0.0,8.599654912948608
15,30,64,0.6000000000000001,10,90,5,5868.0,9.069202184677124
45,34,60,0.30000000000000004,20,75,15,0.0,9.033329010009766
15,28,74,0.6000000000000001,20,90,5,-962.0,8.949106931686401
35,32,76,0.8000000000000003,5,90,5,0.0,9.010646104812622
35,20,62,0.5000000000000001,10,75,10,0.0,8.881014823913574
45,20,76,0.5000000000000001,5,90,10,0.0,8.893893003463745
30,38,62,0.30000000000000004,20,75,15,0.0,8.939230918884277
35,24,64,0.8000000000000003,10,90,5,0.0,8.833940029144287
15,26,78,0.6000000000000001,5,85,5,-962.0,8.967668056488037
15,24,64,0.6000000000000001,20,85,15,6058.0,9.72790241241455
25,32,70,0.8000000000000003,5,90,5,0.0,9.728400945663452
45,24,60,0.8000000000000003,15,75,10,0.0,9.80568814277649
25,30,78,0.4000000000000001,20,75,5,0.0,9.741241931915283
15,36,66,0.5000000000000001,10,80,10,-4908.0,10.03152585029602
25,32,64,0.5000000000000001,10,75,5,0.0,9.749629974365234
10,32,62,0.7000000000000002,10,90,10,-714.0,9.845940113067627
